finding_id,cohort_id,repository,pr_number,reviewer,source_author,reviewed_sha,reviewed_at,match_quality,finding_url,summary,category,validity,action,action_quality,usefulness,disposition_url,overlap_group,retrieved_on
O001,P01,vybestack/llxprt-code,2462,OCR,github-actions[bot],66b27be6d45d96fdc18e972cbbba64748c90e22a,2026-07-09T14:45:57Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552518703,OAuth guard key can cross-contaminate configurations,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926675538,,2026-07-14
O002,P01,vybestack/llxprt-code,2462,OCR,github-actions[bot],66b27be6d45d96fdc18e972cbbba64748c90e22a,2026-07-09T14:45:57Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552518710,URL extraction can choose a documentation link before the deprecation signal,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926675538,,2026-07-14
O003,P01,vybestack/llxprt-code,2462,OCR,github-actions[bot],66b27be6d45d96fdc18e972cbbba64748c90e22a,2026-07-09T14:45:57Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552518716,Comma trimming can corrupt a valid URL query,robustness,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926675538,,2026-07-14
O004,P01,vybestack/llxprt-code,2462,OCR,github-actions[bot],66b27be6d45d96fdc18e972cbbba64748c90e22a,2026-07-09T14:45:57Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552518721,Test name and fixture do not exercise missing transport configuration,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926675538,,2026-07-14
C001,P01,vybestack/llxprt-code,2462,CodeRabbit,coderabbitai[bot],66b27be6d45d96fdc18e972cbbba64748c90e22a,2026-07-09T14:50:38Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552555636,Canonical examples normalize trust true and bypass confirmation prompts,security,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926675538,,2026-07-14
O005,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:32:59Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568795946,Test mock uses the wrong broad runtime type,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569080001,,2026-07-14
O006,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:33:01Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568796082,Explicit Vitest imports are unnecessary,maintainability,invalid,dismissed,appropriate,low,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569080197,,2026-07-14
O007,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:33:03Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568796270,Unknown cast hides trust runtime contract mismatches,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569080378,,2026-07-14
O008,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:33:05Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568796434,Do Not Trust allegedly defeats a forced restart flow,correctness,invalid,dismissed,appropriate,low,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569080590,,2026-07-14
O009,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:33:10Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568796774,Unmount assertion does not prove listener removal,tests,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569081019,G01,2026-07-14
O010,P02,vybestack/llxprt-code,2547,OCR,github-actions[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:33:22Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568798014,Displayed working directory differs from normalized trust path,correctness,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569082585,,2026-07-14
C002,P02,vybestack/llxprt-code,2547,CodeRabbit,coderabbitai[bot],4a50e2b7a25746c93a349fcc65b61cde633f09d1,2026-07-13T07:36:52Z,exact-head,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568818388,Unmount test under-verifies several listener removals,tests,partial,dismissed,appropriate,low,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3569089285,G01,2026-07-14
O011,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:04Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561601644,Repeated line-index boilerplate risks selection drift,maintainability,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561601644,G02,2026-07-14
O012,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:20Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561602905,Chooser geometry duplicates separator width,maintainability,unadjudicated,no-action,unverifiable,medium,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561602905,G03,2026-07-14
O013,P03,vybestack/llxprt-jefe,181,OCR,github-actions[bot],f2409b7fca9dd4e52f85473e6d162b1e17763b20,2026-07-10T19:52:22Z,exact-head,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603029,Chooser-width doc comment is malformed,documentation,unadjudicated,no-action,unverifiable,low,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603029,G04,2026-07-14
