overlap_group,cohort_id,repository,pr_number,overlap_type,normalized_claim,ocr_finding_id,ocr_url,coderabbit_finding_id,coderabbit_url,disposition_comparison,retrieved_on
G01,P02,vybestack/llxprt-code,2547,semantic,Unmount test does not adequately prove listener cleanup,O009,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568796774,C002,https://github.com/vybestack/llxprt-code/pull/2547#discussion_r3568818388,OCR fixed with black-box assertion; CodeRabbit accepted withdrawal after the same stronger assertion,2026-07-14
G02,P03,vybestack/llxprt-jefe,181,exact,Repeated line-index increment boilerplate risks selection drift,O011,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561601644,C003,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658080,Both unadjudicated,2026-07-14
G03,P03,vybestack/llxprt-jefe,181,semantic,Chooser separator width is duplicated between geometry and renderers,O012,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561602905,C004,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658097,Both unadjudicated,2026-07-14
G04,P03,vybestack/llxprt-jefe,181,exact,Chooser-width documentation is malformed,O013,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603029,C005,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658071,Both unadjudicated,2026-07-14
G05,P03,vybestack/llxprt-jefe,181,exact,Confirm modal lost title and destructive-action visual distinction,O014,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561603236,C006,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3561658102,Both unadjudicated,2026-07-14
G06,P04,vybestack/llxprt-jefe,288,exact,Second sibling cleanup can fail after parent directory was already removed,O020,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420885,C013,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442408,Both unadjudicated in the selected threads,2026-07-14
G07,P04,vybestack/llxprt-jefe,288,exact,Per-path git restore process spawning may be expensive,O021,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575420889,C010,https://github.com/vybestack/llxprt-jefe/pull/288#discussion_r3575442397,Both dismissed as an intentional argv-safety tradeoff,2026-07-14
G08,P05,vybestack/llxprt-luther,110,exact,General exclude labels are incorrectly reused for active-parent detection,O022,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454606,C015,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236636,Both validated and fixed,2026-07-14
G09,P05,vybestack/llxprt-luther,110,exact,Missing resume metadata is collapsed into Some empty string,O023,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454926,C016,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236640,Both validated and fixed,2026-07-14
G10,P05,vybestack/llxprt-luther,110,exact,Poller SQLite connection lacks busy timeout,O024,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455138,C017,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525236643,Both validated and fixed,2026-07-14
