effective_from,effective_to,policy,plan_or_scope,documented_limit,unit,source_url,source_date,retrieved_on,confidence
2023-12-22,unknown,"OSS fair-use engineering policy",OSS,"Example 3 reviews/hour; one every 20 minutes; burst 2; file and commit controls",per user hourly,https://www.coderabbit.ai/blog/how-we-built-cost-effective-generative-ai-application,2023-12-22,2026-07-14,high for 2023 only
2025-11-05,2026-04-27,"Pricing at first VybeStack use","Free/Lite/Pro/OSS","Lite and Pro marketed unlimited PR reviews; Pro free forever for public OSS",per PR creator/seat; throughput omitted,https://web.archive.org/web/20251105200221id_/https://www.coderabbit.ai/pricing,2025-11-05 archive,2026-07-14,high marketing evidence
2026-05-02,2026-06-12,"Refilling rate-limit table","Free/Trial/OSS/Pro/Pro+/Enterprise","PR: 3 summary-only / 4 / 2 / 5 / 10 / 12",per developer refill bucket,https://web.archive.org/web/20260502104924id_/https://docs.coderabbit.ai/management/plans,2026-05-02 archive,2026-07-14,high
2026-06-08,2026-06-08,"Lite and Pro Legacy sunset","Lite/Pro Legacy","Affected customers moved to Pro at no additional cost",vendor subscription migration,https://docs.coderabbit.ai/changelog,2026-06-08,2026-07-14,medium-high; exact page mutable
2026-06-13,2026-06-23,"Adaptive fair-use policy disclosed","Free/OSS/Pro/Pro+/Enterprise","PR: 3 summary-only / 1-10 / 5 / 10 / 12; adaptive sustained and burst behavior",per developer identity with recent org activity,https://web.archive.org/web/20260613223630id_/https://docs.coderabbit.ai/management/plans,2026-06-13 archive,2026-07-14,high
2026-06-24,2026-07-13,"Numeric adaptive bands","Pro/Pro+","Pro floor 1/hour at 60+ seven-day reviews; Pro+ floor at 130+",per developer identity in organization,https://web.archive.org/web/20260628195617id_/https://docs.coderabbit.ai/management/plans,2026-06-28 archive,2026-07-14,high
2026-07-14,2026-07-14,"Current adaptive bands","Pro/Pro+","Pro floor 1/hour at 60+ seven-day reviews; Pro+ floor tightened to 90+",per developer identity in organization,https://docs.coderabbit.ai/management/plans,live at cutoff,2026-07-14,high current only
2026-07-14,2026-07-14,"Incremental and manual accounting",all PR review plans,"Each automatic incremental; @review; and @full review run consumes one PR review",same per-developer allowance,https://docs.coderabbit.ai/configuration/auto-review,live at cutoff,2026-07-14,high current only
2026-07-14,2026-07-14,"Usage-based add-on","Pro/Pro+/Enterprise","Eligible over-limit reviews continue at $0.25/file",developer allowance first; organization-shared credits,https://docs.coderabbit.ai/management/usage-based-addon,live at cutoff,2026-07-14,high current only
2026-07-14,2026-07-14,"Seat assignment",paid organizations,"PR creators consume seats; unseated users can receive free summary",developer/seat,https://docs.coderabbit.ai/management/seat-assignment,live at cutoff,2026-07-14,high current only
