finding_id,run_id,matched_pair_id,repository,provider,model,path,start_line,end_line,category,severity,word_count,content_sha256,excerpt,has_suggestion,has_existing_code,duplicate_group,is_duplicate_or_rephrase,semantic_overlap_group,adjudication,usefulness,context_status,action_status,no_action_reason,action_evidence,source_path,source_sha256
QZC-001,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,bunfig.toml,0,0,bug,high,93,50eeb3330ef13032678e7b346e945927141503a445ccb80fa837377c26612283,"The `afterEach` hook is registered inside the `importActual` function body. Every time `importActual(id)` is called (e.g., from each `vi.mock` factory's `importOriginal` callback), a new duplicate `afterEach` hook is registered. If N mock f",yes,yes,importActual-hook,no,importActual-hook,valid,high,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-002,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,bunfig.toml,6,7,bug,high,71,9c88d2d1ae68eb56095726d9ef77097393470bf1ec95f1b7d96f503b5f6287d7,"Missing safety-net `afterEach` at module scope. Unlike `bun-vitest-compat.ts` which registers a module-level `afterEach` (line 211) to guarantee stub cleanup even when tests forget to call `vi.restoreAllMocks()`, this module has no such fal",yes,yes,,no,,valid,high,stale_or_misattributed,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-003,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,package.json,0,0,bug,high,89,b08e9f5f0fbecc24cce1eed78418fe667fc5ec6ebaf401b0b03c9ed5882b5f00,"The `afterEach(...)` hook is registered **inside** the `importActual` function body. This means every call to `vi.importActual(id)` registers a new `afterEach` hook, causing an unbounded accumulation of duplicate cleanup hooks across a test",yes,yes,importActual-hook,yes,importActual-hook,valid,low,stale_or_misattributed,fixed_after_pair,,e8a4ad1d554f8c3bfed11d5697cc8c01aed74acf (paired exposure; not provider-specific causation),$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-004,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,package.json,197,197,bug,low,100,3d08abdcaf60a325edbad62a361a9d5b1bea514bf6f76e48847ccdc6fe1b0fde,"`onUncaughtException` calls `shutdown().finally(() => process.exit(1))` without guarding against `shutdown()` itself throwing synchronously. `shutdown()` is an `async` function so the outer call won't throw, but if `orchestrator.shutdown()`",no,yes,,no,,partial,low,grounded,no_direct_fix,partial/speculative or remedy not selected,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-005,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/package.json,21,23,bug,high,119,0886a9ee942b15e61173866ed6af137692bd077da016c546ca59865404326389,"`--reporter-outfile` is not a valid `bun test` CLI flag in Bun 1.3.x. Bun's test runner controls JUnit output destination via the `BUN_JUNIT_REPORTER_PATH` environment variable or the `[test]` section in `bunfig.toml`, not a CLI argument. P",yes,yes,,no,a2a-reporter-flags,valid,high,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-006,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/agent/task.factory-migration.integration.test.ts,293,310,maintainability,medium,160,f6e45ca2c93cc9243ae2abf5b343f0e61af25b2c4402595b3d828e2f42246d3a,"Bun's native `expect` supports `.rejects.toThrow()` — this is proven by `packages/lsp/test/lsp-client.test.ts` which imports directly from `bun:test` and uses `.rejects.toThrow()` successfully (e.g., line 147). The try/catch replacement is ",yes,yes,,no,,valid,medium,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-007,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/agent/task.test.ts,48,50,maintainability,medium,71,4dd03960cfbc17ab3e926427010cb816fa94fe2382b1a62860777682c45e7ae9,"The `onConfirm` mock is typed as `Mock<() => Promise<void>>` (zero arguments), but the real `ToolInfoConfirmationDetails.onConfirm` signature is `(outcome: ToolConfirmationOutcome, payload?: ToolConfirmationPayload) => Promise<void>`. The t",yes,yes,,no,,valid,medium,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-008,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/agent/task.test.ts,560,560,maintainability,medium,66,d3f5b1ca90bb57264a9c4725ce7993732d7b8fcf36455bc3b5ff468aa94165de,"Same issue: `scheduleMock` is typed as `Mock<() => Promise<void>>` (zero arguments), but the real `ToolSchedulerContract.schedule` signature is `(request: ToolCallRequestInfo | ToolCallRequestInfo[], signal: AbortSignal) => Promise<void>`. ",yes,yes,,no,,valid,medium,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-009,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/commands/command-registry.test.ts,27,33,maintainability,low,52,1284cf1ef8dff0186b6503728d929e88db57867f9533fe7d27810ea1003c487a,All five `it()` callbacks are declared `async` but no longer contain any `await` — the dynamic `import()` calls were removed during the migration to direct instantiation. The unnecessary `async` keyword is dead code that can mislead future ,yes,yes,,no,,valid,low,grounded,no_direct_fix,no direct change found in review-remediation commit,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
QZC-010,QZC,M001,vybestack/llxprt-code,Z.ai,GLM-5.2,packages/a2a-server/src/commands/init.ts,133,133,bug,high,91,34998ffaf0d559cbef53bf7f2c91d4c266cc66a47c90c0d3124a34114d232395,"When `this.dependencies.logInfo` is `undefined` (the default/production path), the fallback `logger.info` is invoked as a detached function reference — without `this` binding. Winston's `Logger.prototype.info` internally calls `this.log(...",yes,yes,,no,,invalid,low,grounded,no_direct_fix,invalid/unsupported,,$TMPDIR/ocr_zai_glm.log,456fbe11d20140fa62e87f84bdfdfc5b2613fa5ccb77454de29b8b77d8f17df5
