finding_id,repository,pr_number,finding_url,summary,category,validity,action,action_quality,usefulness,action_evidence
C1,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881598,suggestedUrl fallback allegedly dead; empty-string behavior underdocumented,maintainability,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C2,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881606,in-flight OAuth promise can hang permanently,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C3,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881612,exact SSE deprecation phrase is brittle,robustness,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C4,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236329,uppercase URL schemes are not extracted,robustness,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C5,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236335,OAuth timeout timer survives successful completion,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C6,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236343,timed-out browser OAuth is not cancellable,lifecycle,partial,explained-dismissed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C7,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,inherited trust display lacks a reliable string fallback,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C8,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,exit-only component is misleadingly named RestartingMessage,maintainability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C9,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,test helper mutates an imported module object,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C10,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,aborted failed connect can leak transport,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C11,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,duplicate report of the same transport leak,lifecycle,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C12,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,tool refresh timeout is not cleared on all exits,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
